asset_id,asset,scope,phase,quantity_per_unit,owner,status,deliverable,acceptance,source_or_licence
CHAR-RIGHTS,Asset provenance record,Per leader,V1,1,Producer,Not started,rights_manifest.json,"Source licences, likeness review and artist agreement recorded; public-delivery permission checked.",Original production requirement
SHARED-RIG,Canonical human skeleton,Global,V1,1,Technical animator,Not started,skeleton.glb + spec,Single immutable root and socket hierarchy for every fighter.,Original production requirement
SHARED-COLL,Canonical gameplay volumes,Global,V1,1,Combat engineer,Not started,hurtboxes.json + hitboxes.json,Sampled by simulation tick; independent of render LOD and leader mesh.,Original production requirement
SHARED-ANIM,Shared animation library,Global,V1,1,Animator,Not started,clips.glb + animation_manifest.json,All shared V1 clips from animation register delivered.,Original production requirement
SHARED-FACE,Facial expression controller,Global,V1,1,Technical artist,Not started,morph mapping + controller spec,Bounded blends; no inference of real person emotions.,Original production requirement
SHARED-AUDIO,Generic exertion performances,Global,V1,1,Sound designer,Not started,WAV masters + encoded files,Commissioned actor recordings; no real-leader voice clone.,Original production requirement
SHARED-FALLBACK,Anonymous reference fighters,Global,V1,1,Character artist,Not started,Two neutral rigged mannequins,Usable for benchmarking and for blocked likeness assets.,Original production requirement
SHARED-SHADER,Material/shader library,Global,V1,1,Graphics engineer,Not started,Versioned shader modules,"Skin, cloth, hair and eyes with tested low-tier fallbacks.",Original production requirement
SHARED-DEBUG,Asset inspection scene,Global,V1,1,Graphics engineer,Not started,Browser inspection route,"Turntable, neutral lights, skeleton, LOD, morph sliders and frame scrub.",Original production requirement
ARENA-SHELL,Summit hall shell,Per arena,V1,1,Environment artist,Not started,Source + GLB/textures/config,Floor/walls/ceiling; navigation bounds separate,Original production requirement
ARENA-FLOOR,Hero floor materials,Per arena,V1,1,Environment artist,Not started,Source + GLB/textures/config,Contact shadows; subtle roughness; no mirror-like whole floor,Original production requirement
ARENA-PODIUM,Breakable podium,Per arena,V1,1,Environment artist,Not started,Source + GLB/textures/config,Intact + 8-12 pre-fractured pieces; no gameplay collision after break,Original production requirement
ARENA-TABLE,Conference furniture,Per arena,V1,1,Environment artist,Not started,Source + GLB/textures/config,Static meshes; hero props no official seals,Original production requirement
ARENA-LIGHT,Lighting/probe pack,Per arena,V1,1,Environment artist,Not started,Source + GLB/textures/config,Baked ambient contribution + one live key shadow,Original production requirement
ARENA-CROWD,Background delegates,Per arena,V1,1,Environment artist,Not started,Source + GLB/textures/config,Instanced low-detail silhouettes; no individual public figures,Original production requirement
ARENA-SCREEN,Arena display graphics,Per arena,V1,1,Environment artist,Not started,Source + GLB/textures/config,"Original summit emblem and match data, not real news graphics",Original production requirement
ARENA-VOLUME,Fog and atmosphere,Per arena,V1,1,Environment artist,Not started,Source + GLB/textures/config,Shallow depth layers; removable on low tier,Original production requirement
ARENA-CAMERA,Camera anchor set,Per arena,V1,1,Environment artist,Not started,Source + GLB/textures/config,"Gameplay, intro, replay and portrait-safe composition",Original production requirement
ARENA-COLLIDER,Arena gameplay bounds,Per arena,V1,1,Environment artist,Not started,Source + GLB/textures/config,14m playable span; cosmetic depth unconstrained by combat,Original production requirement
ARENA-LOD,Arena LOD/lightmap set,Per arena,V1,1,Environment artist,Not started,Source + GLB/textures/config,Standard arena <=250k visible tris; <=80 main-pass draws,Original production requirement
ARENA-EXPORT,Arena runtime bundle,Per arena,V1,1,Environment artist,Not started,Source + GLB/textures/config,<=12 MiB standard arena transfer target,Original production requirement
VFX-HIT,Impact effect,Global,V1,1,VFX artist,Not started,Effect prefab + textures + cues,Short dust/sweat-like mist; no gore,Original production requirement
VFX-BLOCK,Block effect,Global,V1,1,VFX artist,Not started,Effect prefab + textures + cues,"Distinct shape plus sound, not colour alone",Original production requirement
VFX-PARRY,Veto parry effect,Global,V1,1,VFX artist,Not started,Effect prefab + textures + cues,Readable ring; no full-screen strobe,Original production requirement
VFX-PAPER,Paperwork special,Global,V1,1,VFX artist,Not started,Effect prefab + textures + cues,Pooled paper cards; no uncontrolled rigid bodies,Original production requirement
VFX-SHIELD,Diplomatic shield,Global,V1,1,VFX artist,Not started,Effect prefab + textures + cues,Visibly bounded lifetime; no permanent obstruction,Original production requirement
VFX-DEBRIS,Podium debris,Global,V1,1,VFX artist,Not started,Effect prefab + textures + cues,Fixed piece cap and despawn lifetime,Original production requirement
VFX-TRAIL,Motion accents,Global,V1,1,VFX artist,Not started,Effect prefab + textures + cues,Subtle optional trails; no hiding attack startup,Original production requirement
VFX-KO,Round-end effect,Global,V1,1,VFX artist,Not started,Effect prefab + textures + cues,Brief desaturation optional; recoverable theatrical defeat,Original production requirement
SFX-IMPACT,Punch/kick body impacts,Global,V1,12,Sound designer,Not started,48kHz WAV masters + web encodes,Variation without clipping; licence cleared; separate loudness buses.,Original production requirement
SFX-BLOCK,Block/parry impacts,Global,V1,8,Sound designer,Not started,48kHz WAV masters + web encodes,Variation without clipping; licence cleared; separate loudness buses.,Original production requirement
SFX-STEP,Footsteps and shoe pivots,Global,V1,12,Sound designer,Not started,48kHz WAV masters + web encodes,Variation without clipping; licence cleared; separate loudness buses.,Original production requirement
SFX-CLOTH,Cloth/air movement,Global,V1,12,Sound designer,Not started,48kHz WAV masters + web encodes,Variation without clipping; licence cleared; separate loudness buses.,Original production requirement
SFX-ARENA,Summit ambience layers,Global,V1,4,Sound designer,Not started,48kHz WAV masters + web encodes,Variation without clipping; licence cleared; separate loudness buses.,Original production requirement
SFX-ANNOUNCER,Original announcer lines,Global,V1,12,Sound designer,Not started,48kHz WAV masters + web encodes,Variation without clipping; licence cleared; separate loudness buses.,Original production requirement
SFX-SPECIAL,Special-move audio sets,Global,V1,6,Sound designer,Not started,48kHz WAV masters + web encodes,Variation without clipping; licence cleared; separate loudness buses.,Original production requirement
SFX-UI,UI/menu sounds,Global,V1,10,Sound designer,Not started,48kHz WAV masters + web encodes,Variation without clipping; licence cleared; separate loudness buses.,Original production requirement
SFX-MUSIC,Original music stems,Global,V1,4,Sound designer,Not started,48kHz WAV masters + web encodes,Variation without clipping; licence cleared; separate loudness buses.,Original production requirement
UI-LOGO,Original Summit Showdown identity,Global,V1,1,Product/UI designer,Not started,SVG/WebP + source + UI specification,Readable at capture size; keyboard accessible; no official branding; labels survive export.,Original production requirement
UI-ROSTER,Roster cards and country labels,Global,V1,1,Product/UI designer,Not started,SVG/WebP + source + UI specification,Readable at capture size; keyboard accessible; no official branding; labels survive export.,Original production requirement
UI-HUD,Fight HUD and controller prompts,Global,V1,1,Product/UI designer,Not started,SVG/WebP + source + UI specification,Readable at capture size; keyboard accessible; no official branding; labels survive export.,Original production requirement
UI-TELEMETRY,AI Cam overlays,Global,V1,1,Product/UI designer,Not started,SVG/WebP + source + UI specification,Readable at capture size; keyboard accessible; no official branding; labels survive export.,Original production requirement
UI-RESULT,Match result and replay UI,Global,V1,1,Product/UI designer,Not started,SVG/WebP + source + UI specification,Readable at capture size; keyboard accessible; no official branding; labels survive export.,Original production requirement
UI-DISCLOSURE,Persistent fiction and AI labels,Global,V1,1,Product/UI designer,Not started,SVG/WebP + source + UI specification,Readable at capture size; keyboard accessible; no official branding; labels survive export.,Original production requirement
UI-EXPORT,16:9 and 9:16 capture overlays,Global,V1,1,Product/UI designer,Not started,SVG/WebP + source + UI specification,Readable at capture size; keyboard accessible; no official branding; labels survive export.,Original production requirement
UI-SETTINGS,Accessible settings and loading states,Global,V1,1,Product/UI designer,Not started,SVG/WebP + source + UI specification,Readable at capture size; keyboard accessible; no official branding; labels survive export.,Original production requirement
