animation_id,category,scope,phase,duration_seconds,loop,root_motion,source_fps,status,owner,acceptance
attack_anti_air,Attack,Shared,V1,0.683,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
attack_air_kick,Attack,Shared,V1,0.533,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
guard_high_enter,Defence,Shared,V1,0.1,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
guard_high_hold,Defence,Shared,V1,1,True,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
guard_high_exit,Defence,Shared,V1,0.1,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
guard_low_enter,Defence,Shared,V1,0.1,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
guard_low_hold,Defence,Shared,V1,1,True,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
guard_low_exit,Defence,Shared,V1,0.1,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
parry_attempt,Defence,Shared,V1,0.54,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
parry_success,Defence,Shared,V1,0.2,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
parry_recoiled,Defence,Shared,V1,0.4,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
throw_attacker,Paired,Shared,V1,0.74,False,scripted_anchors,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
throw_victim,Paired,Shared,V1,0.74,False,scripted_anchors,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
throw_break_attacker,Paired,Shared,V1,0.3,False,scripted_anchors,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
throw_break_victim,Paired,Shared,V1,0.3,False,scripted_anchors,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
hit_high_front_light,Reaction,Shared,V1,0.5,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
hit_high_front_heavy,Reaction,Shared,V1,0.5,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
hit_body_front_light,Reaction,Shared,V1,0.5,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
hit_body_front_heavy,Reaction,Shared,V1,0.5,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
hit_low_front,Reaction,Shared,V1,0.5,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
hit_air,Reaction,Shared,V1,0.5,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
block_high_light,Reaction,Shared,V1,0.5,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
block_high_heavy,Reaction,Shared,V1,0.5,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
block_low_light,Reaction,Shared,V1,0.5,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
block_low_heavy,Reaction,Shared,V1,0.5,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
stagger_guard_break,Reaction,Shared,V1,0.5,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
wall_recoil,Reaction,Shared,V1,0.5,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
knockdown_back,Recovery,Shared,V1,0.7,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
knockdown_front,Recovery,Shared,V1,0.7,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
ground_hold,Recovery,Shared,V1,1,True,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
getup_back,Recovery,Shared,V1,0.8,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
getup_front,Recovery,Shared,V1,0.8,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
round_ko,Recovery,Shared,V1,1.4,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
round_recover,Recovery,Shared,V1,1.6,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
shield_cast,Special,Shared,V1,0.94,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
shield_absorb,Special,Shared,V1,0.2,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
papers_cast,Special,Shared,V1,1.04,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
papers_hit_reaction,Special,Shared,V1,0.7,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
intro_adjust_cuffs,Presentation,Shared,V1,2,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
intro_guard_up,Presentation,Shared,V1,1.4,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
victory_composed,Presentation,Shared,V1,2.2,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
defeat_seated,Presentation,Shared,V1,2.3,False,in_place,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
entry_signature,Likeness presentation,Per leader,V1,2,False,in_place,60,Not started,Animator,"Original neutral performance; no imitation of medical symptoms, no authentic speech or attributed political behaviour."
idle_signature_additive,Likeness presentation,Per leader,V1,2,False,in_place,60,Not started,Animator,"Original neutral performance; no imitation of medical symptoms, no authentic speech or attributed political behaviour."
victory_signature,Likeness presentation,Per leader,V1,2,False,in_place,60,Not started,Animator,"Original neutral performance; no imitation of medical symptoms, no authentic speech or attributed political behaviour."
selection_pose,Likeness presentation,Per leader,V1,2,False,in_place,60,Not started,Animator,"Original neutral performance; no imitation of medical symptoms, no authentic speech or attributed political behaviour."
summit_cast,Special,Shared,V2,1.2,False,scripted_anchors,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
summit_hit_reaction,Special,Shared,V2,1.2,False,scripted_anchors,60,Not started,Animator,Retargeted on both test bodies; clean contacts; markers aligned to move data.
