catalogue_code,display_label,coverage_group,office_holder,office_title,official_source_url,verified_at,asset_status,publication_status,notes
IS,Iceland,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
IE,Ireland,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
IT,Italy,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
LV,Latvia,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
LI,Liechtenstein,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record. Constitutional office structure requires explicit editorial review; do not assume one president plus one prime minister.
LT,Lithuania,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
LU,Luxembourg,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
MT,Malta,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
MD,Moldova,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
MC,Monaco,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record. Constitutional office structure requires explicit editorial review; do not assume one president plus one prime minister.
ME,Montenegro,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
NL,Netherlands,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
MK,North Macedonia,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
NO,Norway,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
PL,Poland,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
PT,Portugal,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
RO,Romania,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
RU,Russia,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
SM,San Marino,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record. Constitutional office structure requires explicit editorial review; do not assume one president plus one prime minister.
RS,Serbia,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
SK,Slovakia,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
SI,Slovenia,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
ES,Spain,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
SE,Sweden,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
CH,Switzerland,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record. Constitutional office structure requires explicit editorial review; do not assume one president plus one prime minister.
UA,Ukraine,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
GB,United Kingdom,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
VA,Vatican City,European production scope,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record. Constitutional office structure requires explicit editorial review; do not assume one president plus one prime minister.
AM,Armenia,Expanded coverage review,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
AZ,Azerbaijan,Expanded coverage review,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
CY,Cyprus,Expanded coverage review,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
GE,Georgia,Expanded coverage review,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
KZ,Kazakhstan,Expanded coverage review,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
TR,Türkiye,Expanded coverage review,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
KOS,Kosovo,Expanded coverage review,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record. KOS is an internal catalogue code; coverage does not express a position on recognition.
US,United States,US,,,,,Not started,Blocked - verification required,Verify the current relevant offices and office-holders before creating a likeness record.
